epochs,train_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_accuracy,lr_history
1,0.43580530846370397,0.8906929919525083,0.8358192170983774,0.8919157623012555,0.9117713226108268,0.9305007840039299,0.9221662078664962,0.005000000000000007
2,0.22585780800510297,0.8906055320304451,0.8389125031493657,0.8787773155805019,0.9266419337174105,0.9169035036221669,0.9202340400343355,0.005000000000000007
3,0.20937312885422255,0.9035653826918698,0.8588976043106149,0.9079070633492239,0.916883678387148,0.9297152097388683,0.9281700706703366,0.005000000000000007
4,0.1969647166343616,0.9058970263610846,0.861923202727044,0.9258117890427674,0.9007030389387405,0.944906396337017,0.9317420357422885,0.005000000000000007
5,0.1896400125516725,0.9055061343355869,0.8614979056971933,0.9136713610556269,0.9128153710858278,0.9359517410692346,0.9304045510048087,0.005000000000000007
6,0.18568837793040574,0.9082569089142283,0.8646633477263115,0.9227522008672646,0.9078050542357627,0.9438279032833242,0.9321293521296036,0.005000000000000007
7,0.17678589657577712,0.9059120726923382,0.8633197023961047,0.9236067391027175,0.9044286974620136,0.9409567519559974,0.929312665112927,0.005000000000000007
8,0.17429746614350697,0.9056226294370451,0.8597204756940268,0.9010553171553718,0.9249830167758539,0.9305815354856917,0.932248507048758,0.005000000000000007
9,0.16881992207455662,0.9030236912885355,0.8578433592006675,0.9082927592848486,0.9145929363821763,0.935594303863498,0.9294986346988958,0.005000000000000007
10,0.165420999387311,0.9079712027822322,0.8646861917559507,0.9090595862433547,0.9210020440967408,0.9322424208061657,0.9320796425798941,0.005000000000000007
11,0.16361946216704773,0.9068284985364987,0.8635341682410826,0.9275630454604976,0.9011381762660258,0.9457622672025694,0.9314258482261023,0.005000000000000007
12,0.16024352270290002,0.9059788881899277,0.8614735109213811,0.9055703429236266,0.9214113854458481,0.934984360851754,0.9320800310802826,0.005000000000000007
13,0.1583540498734608,0.899852772697571,0.8540867424121555,0.8918789892467806,0.927831047143523,0.9108051615947801,0.9222153994156875,0.005000000000000007
14,0.15542881517854765,0.9030482390087552,0.8574188505465796,0.9036782335623174,0.9195902965491048,0.9255092927986797,0.9282108225110884,0.005000000000000007
15,0.1550053955568691,0.905935088462106,0.8614477166106008,0.9126010394687858,0.9135865986011233,0.940532649879053,0.9318198727201253,0.005000000000000007
16,0.13123066003775244,0.9101972606595778,0.8683230267713258,0.9166963613652961,0.9166365079603652,0.9376724733250816,0.9330197691200172,0.0005000000000000008
17,0.12720327744496182,0.909057699370288,0.8679695913920247,0.916338959180917,0.9154480221056738,0.9365171044212227,0.9314857142859679,0.0005000000000000008
18,0.12458688598402277,0.9097694050667626,0.8680366269466895,0.9168321190767027,0.9152932281622952,0.937817179191154,0.9322302105304615,0.0005000000000000008
19,0.1229890336323967,0.9105088073078575,0.8686402257127241,0.9158717108523244,0.9170367966104204,0.9377537003010975,0.932323084323335,0.0005000000000000008
20,0.12214720544820501,0.9091361186116291,0.8671125416803782,0.915170559452312,0.9157677753328388,0.9380279887692236,0.9321853072855584,0.0005000000000000008
21,0.12021583800406929,0.9113544626043208,0.8688442572950478,0.9117827775213617,0.9226189659460037,0.9366801172908797,0.9334533688536153,0.0005000000000000008
22,0.11878481551478091,0.9103387294950452,0.8677096532265189,0.9098326465016673,0.9229011007286829,0.9336852297333377,0.9323841343843848,0.0005000000000000008
23,0.11737192523248383,0.9106523994330391,0.8689129296603524,0.9187647543974071,0.9158947386327535,0.9393348457406424,0.9329947977950459,0.0005000000000000008
24,0.11644133775067031,0.9068746815239918,0.8641528425008388,0.9105985514420855,0.9182220223026639,0.9283916986339356,0.9277230695233373,0.0005000000000000008
25,0.11561733441790534,0.9058155057318144,0.8611557712230159,0.9138138604231489,0.910982449928686,0.9393374922727268,0.9290747881750508,0.0005000000000000008
26,0.11368630386404735,0.9100488822910664,0.867255400298892,0.916311558435866,0.9162667362999624,0.9372885577563909,0.9323341991344498,0.0005000000000000008
27,0.11315372531029354,0.9079415475957886,0.865473876153129,0.9222255014858224,0.9072098592571537,0.9431225194759629,0.9316839345841876,0.0005000000000000008
28,0.1107959732574707,0.9096258806694854,0.8668107731977387,0.9157494488893227,0.916661249493446,0.93769736291333,0.9320335294337813,0.0005000000000000008
29,0.10948188218926351,0.9086298843175096,0.8649625532430046,0.9150618644349767,0.9147707848399405,0.936029054659103,0.9309724386726944,0.0005000000000000008
30,0.10814015724045249,0.9088888548576948,0.8653458927136143,0.9148595721510726,0.9158742201544059,0.9364606737384727,0.9310951603954155,0.0005000000000000008
31,0.10407506308795517,0.9083918159208761,0.86540670962606,0.9139291168100511,0.9160779856637472,0.9347821011862337,0.9304642024644599,5.000000000000008e-05
32,0.1047129360757165,0.9081982888456229,0.8647548759629506,0.916146204712767,0.9139807915556877,0.9378745961643858,0.9309961815964372,5.000000000000008e-05
33,0.10369728907874808,0.9079164801630074,0.8647486730446783,0.9145972816610387,0.914732485649982,0.9352223518679805,0.930143238243497,5.000000000000008e-05
34,0.1032544377354423,0.9078863345094815,0.864581634943378,0.9129518518599364,0.9163251907503384,0.9351190992899663,0.9303990934993513,5.000000000000008e-05
35,0.10325360394581014,0.9085050238041804,0.8654184300610686,0.913914610621133,0.9161764865941323,0.9349013001924271,0.930562174862432,5.000000000000008e-05
36,0.10302935442552735,0.9081482350304136,0.8648823732360524,0.913700365728438,0.9159831877962562,0.9353804619315459,0.9305893550896122,5.000000000000008e-05
37,0.10280730676419922,0.9080586469065706,0.8648449657565496,0.9130560893644939,0.9166248059794393,0.9345399251785005,0.9303520849523429,5.000000000000008e-05
38,0.10296720214519424,0.908161480121306,0.8651042144715161,0.9141870167291052,0.9156818981238877,0.9349733864122283,0.9303603914606494,5.000000000000008e-05
39,0.1029290107536547,0.9075387138705475,0.8639530945032294,0.9125773905459892,0.9160649875134486,0.9335516302637268,0.9298385540388139,5.000000000000008e-05
40,0.10237321999251095,0.9080201913204164,0.8646435690091736,0.9145066451911043,0.9145903665932503,0.9353019606012551,0.9301984570987155,5.000000000000008e-05
41,0.1022138158995722,0.90754431408839,0.864086935369447,0.9141062520784095,0.9144969538077155,0.9351914721751544,0.9300791060793651,5.000000000000008e-05
42,0.10221242220772848,0.9076139290057265,0.8640818449433868,0.9129430604098538,0.915783973515549,0.9347188956845733,0.9301569208571795,5.000000000000008e-05
43,0.10187957489368174,0.9083495492316999,0.8651158503464746,0.9130829394752554,0.91672747912408,0.9343586348643901,0.9304586413588989,5.000000000000008e-05
44,0.10203717477798054,0.9077087368527224,0.8641527809084257,0.9134642509365908,0.9152498506340357,0.9345590568917631,0.9301504791507378,5.000000000000008e-05
45,0.10167857014840657,0.9081473401254306,0.8647040890358992,0.913875987387647,0.9153996651233016,0.9356602186482678,0.9305691715694288,5.000000000000008e-05
46,0.10153798261570278,0.9080366626323756,0.8645905798105368,0.9140422591828968,0.915076985875238,0.9354632655980051,0.9304279202281779,5.000000000000008e-06
47,0.10127209668964182,0.9080225472506936,0.8645558477418078,0.9135973555042596,0.9155152691282048,0.9351207245076486,0.9304190920193497,5.000000000000008e-06
48,0.10118812377837529,0.9078936888990743,0.8644999463677572,0.9138777595351354,0.9152149337225794,0.935316501136538,0.9303506308508888,5.000000000000008e-06
49,0.10133897000870656,0.9078432253472445,0.8644384845414285,0.9139557383106147,0.9150589166630293,0.9353273132084842,0.9303015022017602,5.000000000000008e-06
50,0.10110210526645387,0.9080884226443732,0.86464767627736,0.9137583147155145,0.9154393818122704,0.9351903151537432,0.9304427128429705,5.000000000000008e-06
