epochs,train_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_accuracy,lr_history
1,0.36841395962877177,0.8874889444933558,0.8334149159480643,0.9152615160543052,0.8819280826850175,0.9384915563539682,0.9216844192847092,0.005000000000000007
2,0.22438371178089825,0.9018176950959775,0.8555554473137901,0.921860561999659,0.8984685047166882,0.9434961191761956,0.9292413623416244,0.005000000000000007
3,0.20441388325211396,0.9002951146679891,0.8542695861283103,0.9108200763629773,0.9082722057135302,0.9372944960933907,0.9271732785735483,0.005000000000000007
4,0.19322070481941664,0.905201728409687,0.8606566019986942,0.9099280986975931,0.9156967687544302,0.9386488499496223,0.9311912827915376,0.005000000000000007
5,0.18658999793715733,0.9053200906780531,0.8617156979130073,0.9285755304908264,0.898394584909466,0.9466875622070019,0.9310641210643763,0.005000000000000007
6,0.18307908164802408,0.903745240614585,0.8591523094125297,0.8974099208879619,0.9275917702829697,0.9223183277276295,0.9267017427020142,0.005000000000000007
7,0.1755333871600837,0.9066257196565152,0.8639043431860737,0.9228737170201888,0.9051973160798357,0.9383630421903928,0.9315744958747493,0.005000000000000007
8,0.17124511396667433,0.9044437956884719,0.8612379417585447,0.9213831188607065,0.9029495510875966,0.9423155633986028,0.9291859695862319,0.005000000000000007
9,0.1678267275678799,0.9041831668485107,0.8594908444497069,0.9285735628705358,0.8951369002106381,0.9432450502470917,0.9310122211124766,0.005000000000000007
10,0.164655161165593,0.9068034928243105,0.8645121091325043,0.9256315070343043,0.9034351565519635,0.9431349782197156,0.931657449957703,0.005000000000000007
11,0.16229211397154708,0.9001982685496823,0.8531419562677127,0.9092413285365983,0.9109343564759268,0.9266726835439063,0.9243425315428119,0.005000000000000007
12,0.1596024528893397,0.9041731562640107,0.8597394166672219,0.927918138545496,0.8970612755557362,0.947883009859873,0.930370929071187,0.005000000000000007
13,0.15422591166899985,0.892477769496337,0.8387768519388569,0.8651006049194735,0.9414729515804708,0.8957639966529364,0.91799713619744,0.005000000000000007
14,0.154154120100197,0.9072601141566199,0.8647841343683602,0.9308391107980253,0.8994362068949917,0.9449934081849597,0.9322746438748947,0.005000000000000007
15,0.15112890672690513,0.9026519754224754,0.8537882512331983,0.8933247133321093,0.9276110944260934,0.9278537040066769,0.9289238280240912,0.005000000000000007
16,0.13011280816375462,0.9101724710552802,0.8685291833442536,0.9204017158996206,0.9127798159883955,0.9390199125977615,0.9322164798167308,0.0005000000000000008
17,0.12396382677242448,0.9092448706271686,0.8668684029689875,0.9134813827278121,0.917254049523001,0.9324662764999341,0.9307725533728097,0.0005000000000000008
18,0.12213023181923982,0.9103315634874475,0.868562825454309,0.9210805554322633,0.9111863694532638,0.9394124473466741,0.9320426869429387,0.0005000000000000008
19,0.11976546574141851,0.9099239188704309,0.8679253864479667,0.9186458799921521,0.9134735257308104,0.9391701757019502,0.9320343175345692,0.0005000000000000008
20,0.11870063030869278,0.9094756059834475,0.8672167583937577,0.918675755189553,0.91244173524247,0.9386955914207674,0.9315339142341678,0.0005000000000000008
21,0.11689925497077074,0.9100129090148529,0.867842894446627,0.9203957358560693,0.9121967974443246,0.9379502588156144,0.9316265845268379,0.0005000000000000008
22,0.11574484305955393,0.909179126845435,0.8665199282914526,0.916280475338584,0.9143405579470067,0.9370124107035842,0.9311744292746842,0.0005000000000000008
23,0.1143304982234298,0.9089107291374838,0.8660441477628968,0.9170827707373254,0.9128178919766473,0.9369398627428893,0.930876097976354,0.0005000000000000008
24,0.11302714336115523,0.9089258426404413,0.8660498218382037,0.9131596354076815,0.9164808217093213,0.934790596533763,0.9307703703706268,0.0005000000000000008
25,0.11135907573975887,0.9084494461853958,0.8654971828526096,0.915533095028279,0.9139802295790868,0.9370786215570939,0.9306217301219871,0.0005000000000000008
26,0.10943427291978045,0.9075964342138393,0.864071818108265,0.9085157365124928,0.9195342570772665,0.9300075435053268,0.9290563029565657,0.0005000000000000008
27,0.10781701525488492,0.9079613363746817,0.8653386270747383,0.9187588124892112,0.9094704646609847,0.9385046821657885,0.9307238243240809,0.0005000000000000008
28,0.10682169994511381,0.9088121617476347,0.8658216675080094,0.9151706918425457,0.9148602994616772,0.936010116765853,0.931007925408181,0.0005000000000000008
29,0.10563653437771167,0.908869527112289,0.8657828244212524,0.914971180405686,0.915081003780076,0.9363017947840586,0.9310865911868463,0.0005000000000000008
30,0.10445573934467516,0.9076728578007586,0.8640675469827795,0.9118773040377212,0.916357256059984,0.9347816614463205,0.9303016354018936,0.0005000000000000008
31,0.10104168511442882,0.9088795151496749,0.8658242065506064,0.9144025108558571,0.9160364846414217,0.9356783427241442,0.9313514078516621,5.000000000000008e-05
32,0.10064991425081425,0.9080847773234647,0.8647674889794422,0.9143713381390989,0.91483462824656,0.936186795189656,0.9309247419249977,5.000000000000008e-05
33,0.10051029985993591,0.908052101057205,0.8648253376396555,0.9159390685346386,0.9131782089145585,0.9372477467763829,0.9309371369373928,5.000000000000008e-05
34,0.10008734896218355,0.9084837958528542,0.8653634083128244,0.9152296188820924,0.9146788280684683,0.9364180459714149,0.9310509157511712,5.000000000000008e-05
35,0.10005041600089253,0.9085725431386694,0.8654045093514187,0.9154835517637099,0.9145283595892599,0.9359771542395418,0.9310186961189516,5.000000000000008e-05
36,0.10019865872905491,0.9085364375575545,0.865358888601727,0.9155415454604388,0.9143064162759148,0.9372458368903485,0.9312102083104631,5.000000000000008e-05
37,0.09965228790602092,0.9087631677429301,0.8655999890506686,0.9143869819624759,0.9160947476766975,0.9358673571679652,0.9311388574391125,5.000000000000008e-05
38,0.09952043229236163,0.9081875462259543,0.8649709647252639,0.9160116967320501,0.9133460479686993,0.936965668495737,0.9310488067490621,5.000000000000008e-05
39,0.09964008743162166,0.9088947785750875,0.8657406356820736,0.9165362019266453,0.913791327024208,0.9378756727791322,0.9313689976692517,5.000000000000008e-05
40,0.09952018999557266,0.9076158696406316,0.8640807116653682,0.9131627916728585,0.915121603410084,0.9345718178606448,0.9301030673033261,5.000000000000008e-05
41,0.0992443770204194,0.9083907081653477,0.8649316394451788,0.913293515815716,0.9160337500201561,0.9347961311946866,0.9304207903210481,5.000000000000008e-05
42,0.09937033807792985,0.9080357811372455,0.8644758745078142,0.9127920732932155,0.9159631950976663,0.9345538797874444,0.9302304177306762,5.000000000000008e-05
43,0.098961749189494,0.908274444648314,0.8650034694967033,0.9133576859905082,0.9159383797632972,0.9348247633441562,0.9304604691607268,5.000000000000008e-05
44,0.09886463952411131,0.908085468641486,0.8646443258687178,0.9147341758107557,0.9143150203895232,0.9355429737708937,0.9304148111150687,5.000000000000008e-05
45,0.09865173966779948,0.9078920224033995,0.8643767177287628,0.9132110840437621,0.9154311531892396,0.9350749337545003,0.930359274059532,5.000000000000008e-05
46,0.09844399818740658,0.9083403545162319,0.8649095867153727,0.9137521526811442,0.915618229565614,0.9352297250027345,0.9305450845453417,5.000000000000008e-06
47,0.09834716548907445,0.9083637772905993,0.8649343083723157,0.9133966025177499,0.9160889825057034,0.9348894527705577,0.9305487068489642,5.000000000000008e-06
48,0.09821218677808105,0.9083695873990089,0.8649494575634927,0.9135336958403792,0.9159336572909237,0.9349853958116805,0.9305299515302088,5.000000000000008e-06
49,0.09828532917452647,0.9083710947126552,0.8649447652379668,0.9134184361508605,0.9160403137445338,0.9349651182531403,0.9305437414439987,5.000000000000008e-06
50,0.09825822057259803,0.9083667765389657,0.8649321069584804,0.9136256822260954,0.9158099191384104,0.9351338484713886,0.9305463610466184,5.000000000000008e-06
